"","fragment_ID","micromol.cm2.h","Treatment","Genotype","Species","Timepoint","measure"
"1","DL-2-14",0.651730679099744,"Control","2","DL","TP1","Photo"
"2","DL-2-18",0.696879571542539,"Control","2","DL","TP1","Photo"
"3","DL-3-4",0.567120949370023,"Control","3","DL","TP1","Photo"
"4","DL-4-1",1.12809494266141,"Control","4","DL","TP1","Photo"
"5","DL-4-18",0.81056920839676,"Control","4","DL","TP1","Photo"
"6","DL-5-18",0.327902494823415,"Control","5","DL","TP1","Photo"
"7","MD-1-7",0.257901973733583,"Control","1","MD","TP1","Photo"
"8","MD-4-1",0.219110251974712,"Control","4","MD","TP1","Photo"
"9","MD-4-10",0.331816596267361,"Control","4","MD","TP1","Photo"
"10","MD-4-19",0.131394383056929,"Control","4","MD","TP1","Photo"
"11","MD-5-14",0.495301024327778,"Control","5","MD","TP1","Photo"
